Date,Close,% Change,Delta_MM,Raised,Next Raised
2024-12-19 00:00:00+00:00,97490.953125,-2.5495268879325628,1749.382738095228,0,1.0
2024-12-20 00:00:00+00:00,97755.9296875,0.2717960528709318,1142.8452380952367,1,0.0
2024-12-21 00:00:00+00:00,97224.7265625,-0.5433973434635808,729.9715029761865,0,0.0
2024-12-22 00:00:00+00:00,95104.9375,-2.1802983021374844,-262.1959077381034,0,0.0
2024-12-23 00:00:00+00:00,94686.2421875,-0.4402456102765462,-1446.0409970238106,0,1.0
2024-12-24 00:00:00+00:00,98676.09375,4.213760595334648,-2595.2909226190386,1,1.0
2024-12-25 00:00:00+00:00,99299.1953125,0.6314615210434305,-2876.257738095228,1,0.0
2024-12-26 00:00:00+00:00,95795.515625,-3.528406928650052,-2759.962053571435,0,0.0
2024-12-27 00:00:00+00:00,94164.859375,-1.7022260795415023,-2881.096056547627,0,1.0
2024-12-28 00:00:00+00:00,95163.9296875,1.0609799867287384,-2755.80706845237,1,0.0
2024-12-29 00:00:00+00:00,93530.2265625,-1.7167251608511402,-2457.916294642855,0,0.0
2024-12-30 00:00:00+00:00,92643.2109375,-0.948373223930199,-1972.7456101190473,0,1.0
2024-12-31 00:00:00+00:00,93429.203125,0.8484077565384274,-1882.2670386904792,1,1.0
2025-01-01 00:00:00+00:00,94419.7578125,1.060219561302178,-1797.939955357142,1,1.0
2025-01-02 00:00:00+00:00,96886.875,2.6129247147606893,-1431.7205357142957,1,1.0
2025-01-03 00:00:00+00:00,98107.4296875,1.2597729955682757,-909.5946428571478,1,1.0
2025-01-04 00:00:00+00:00,98236.2265625,0.13128146911018934,-502.71488095237873,1,1.0
2025-01-05 00:00:00+00:00,98314.9609375,0.0801480042089242,108.13630952380481,1,1.0
2025-01-06 00:00:00+00:00,102078.0859375,3.8276219245942267,991.0990327381005,1,0.0
2025-01-07 00:00:00+00:00,96922.703125,-5.050430525956884,1341.0730654761865,0,0.0
2025-01-08 00:00:00+00:00,95043.5234375,-1.9388436629511285,1672.353794642855,0,0.0
2025-01-09 00:00:00+00:00,92484.0390625,-2.6929603222076492,1497.720982142855,0,1.0
2025-01-10 00:00:00+00:00,94701.453125,2.3976181025154863,1084.0904017857101,1,0.0
