Date,Open,High,Low,Close,Volume,Day,Month,Year,% Change,Raised,Next Raised,MM_7,MM_15,Delta_7,Delta_15,Delta_MM,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,LagR_1,LagR_2,LagR_3,LagR_4,LagR_5
2024-12-17,249.47818331943677,253.21915892963332,249.1789022262073,252.8699951171875,51356400,17,12,2024,0.9719565467067426,1,0,248.20411682128906,243.41747334798177,4.6658782958984375,9.452521769205731,4.786643473307294,250.4358673095703,247.5328826904297,247.36329650878906,245.89682006835938,247.1737518310547,1.0,1.0,1.0,0.0,1.0
2024-12-18,251.55318925842403,253.66808268004456,247.14382766353577,247.4530792236328,56774100,18,12,2024,-2.1421742389975296,0,1,248.38938467843192,244.28139038085936,-0.9363054547991112,3.171688842773449,4.10799429757256,252.8699951171875,250.4358673095703,247.5328826904297,247.36329650878906,245.89682006835938,1.0,1.0,1.0,1.0,0.0
2024-12-19,246.90440599607692,251.3935770141874,246.49538898335234,249.1888885498047,60882300,19,12,2024,0.7014700854068412,1,1,248.67726135253906,245.269672648112,0.511627197265625,3.919215901692695,3.40758870442707,247.4530792236328,252.8699951171875,250.4358673095703,247.5328826904297,247.36329650878906,0.0,1.0,1.0,1.0,1.0
2024-12-20,247.44310326755718,254.3863612366688,245.09876750312787,253.87759399414062,147495300,20,12,2024,1.881586884400277,1,1,249.81737191336495,246.41092020670573,4.060222080775674,7.4666737874349,3.406451706659226,249.1888885498047,247.4530792236328,252.8699951171875,250.4358673095703,247.5328826904297,1.0,0.0,1.0,1.0,1.0
2024-12-23,254.15691915529422,255.03479114956258,252.8400883307868,254.6557159423828,40858800,23,12,2024,0.3064949277328255,1,1,250.85914611816406,247.45373942057293,3.79656982421875,7.201976521809883,3.4054066975911326,253.87759399414062,249.1888885498047,247.4530792236328,252.8699951171875,250.4358673095703,1.0,1.0,0.0,1.0,1.0
2024-12-24,254.87518901917565,257.58862955018265,254.67565812568793,257.57867431640625,23234700,24,12,2024,1.1478078798297098,1,1,252.29425920758928,248.4879130045573,5.284415108816972,9.09076131184895,3.8063462030319783,254.6557159423828,253.87759399414062,249.1888885498047,247.4530792236328,252.8699951171875,1.0,1.0,1.0,0.0,1.0
2024-12-26,257.56867823862046,259.47408555117545,257.0100282923795,258.39666748046875,27237100,26,12,2024,0.31757022052907313,1,0,253.43151637486048,249.55267740885418,4.965151105608271,8.84399007161457,3.878838966006299,257.57867431640625,254.6557159423828,253.87759399414062,249.1888885498047,247.4530792236328,1.0,1.0,1.0,1.0,0.0
2024-12-27,257.20952960207876,258.0774615569102,252.4510193654514,254.9749298095703,42355300,27,12,2024,-1.3242189631401002,0,0,253.73222133091517,250.3873311360677,1.242708478655146,4.587598673502612,3.3448901948474656,258.39666748046875,257.57867431640625,254.6557159423828,253.87759399414062,249.1888885498047,1.0,1.0,1.0,1.0,1.0
2024-12-30,251.62302046123375,252.8899685500744,250.14658624824915,251.5930938720703,35557500,30,12,2024,-1.3263405700418285,0,0,254.32365199497767,251.00983072916668,-2.730558122907354,0.5832631429036326,3.3138212658109865,254.9749298095703,258.39666748046875,257.57867431640625,254.6557159423828,253.87759399414062,0.0,1.0,1.0,1.0,1.0
2024-12-31,251.8325261089863,252.670501064015,248.82975968702823,249.8173828125,39480700,31,12,2024,-0.7057868847835769,0,0,254.41343688964844,251.2539093017578,-4.5960540771484375,-1.4365264892578011,3.1595275878906364,251.5930938720703,254.9749298095703,258.39666748046875,257.57867431640625,254.6557159423828,0.0,0.0,1.0,1.0,1.0
2025-01-02,248.3309608077005,248.5005651105234,241.23808511721737,243.26319885253906,55740700,2,1,2025,-2.623590034517398,0,0,252.8970947265625,250.99320576985676,-9.633895874023438,-7.730006917317695,1.9038889567057424,249.8173828125,251.5930938720703,254.9749298095703,258.39666748046875,257.57867431640625,0.0,0.0,0.0,1.0,1.0
2025-01-03,242.7743682861328,243.5923870862029,241.3079045417172,242.7743682861328,40244100,3,1,2025,-0.20094719164758246,0,1,251.19975934709822,250.78504231770833,-8.42539106096541,-8.010674031575519,0.41471702938989097,243.26319885253906,249.8173828125,251.5930938720703,254.9749298095703,258.39666748046875,0.0,0.0,0.0,0.0,1.0
2025-01-06,243.72207367593157,246.73481040856498,242.61474424512696,244.41041564941406,45045600,6,1,2025,0.6738962497692569,1,0,249.3185795375279,250.58818359375,-4.908163888113847,-6.177767944335926,-1.2696040562220787,242.7743682861328,243.26319885253906,249.8173828125,251.5930938720703,254.9749298095703,0.0,0.0,0.0,0.0,0.0
2025-01-07,242.3952722906863,244.9590949760797,240.76920518354387,241.62713623046875,40856000,7,1,2025,-1.1387728348441928,0,1,246.92293221609933,250.19446716308593,-5.295795985630576,-8.567330932617182,-3.2715349469866055,244.41041564941406,242.7743682861328,243.26319885253906,249.8173828125,251.5930938720703,1.0,0.0,0.0,0.0,0.0
2025-01-08,241.33781457710975,243.12351544341067,239.47231962725974,242.11593627929688,37628900,8,1,2025,0.20229517944618802,1,0,245.085933140346,249.63980509440105,-2.969996861049111,-7.52386881510418,-4.553871954055069,241.62713623046875,244.41041564941406,242.7743682861328,243.26319885253906,249.8173828125,0.0,1.0,0.0,0.0,0.0
2025-01-10,239.4324132245663,239.58206138453855,232.4392881886217,236.280029296875,61710900,10,1,2025,-2.410377058241131,0,0,242.89835248674666,248.53380737304687,-6.61832318987166,-12.25377807617187,-5.635454886300209,242.11593627929688,241.62713623046875,244.41041564941406,242.7743682861328,243.26319885253906,1.0,0.0,1.0,0.0,0.0
